Location,p_severe
USA,0.0627804224740946
USA,0.12175186905213503
USA,0.07206056517740281
USA,0.07188314139657027
USA,0.05426117780419395
USA,0.09199400916077063
USA,0.076715328389098
USA,0.07246035771231277
USA,0.04760759463820697
USA,0.04802821138240839
USA,0.05519764525555813
USA,0.08827583547341114
USA,0.1222441626564319
USA,0.06523587738830168
USA,0.072228527667573
USA,0.03706099267200001
USA,0.07179499658828807
USA,0.06569540360251314
USA,0.05975876518585949
USA,0.04213229656508219
USA,0.0686616663000105
USA,0.05417491538368167
USA,0.08394246819799658
USA,0.07473274871153472
USA,0.052308332693819716
USA,0.05672902610208406
USA,0.05574929876430082
USA,0.0936211692968755
USA,0.07783299796007721
USA,0.10258403135549628
USA,0.032524274775613274
USA,0.11614859840688171
USA,0.0769117943432835
USA,0.08377093955147442
USA,0.07584753247535397
USA,0.05607606934518161
USA,0.06047569399724965
USA,0.04517907698752232
USA,0.08607085954134935
USA,0.05399591619532038
USA,0.051940799248498364
USA,0.08471792657507196
USA,0.053341118849408405
USA,0.05062391770085972
USA,0.05214999283239649
USA,0.04742261851200731
USA,0.07920603403535566
USA,0.10316916542146397
USA,0.061847917317092056
USA,0.06557254158777152
USA,0.07664423605345694
USA,0.03965417774276584
USA,0.07828515269357683
USA,0.08628268732694414
USA,0.12395302371605202
USA,0.06433353295105093
USA,0.0674025784563248
USA,0.07559246538739461
USA,0.07501648218400017
USA,0.060731097888894796
USA,0.060671064364751975
USA,0.07443697068747704
USA,0.039340048033565694
USA,0.05468702294702106
USA,0.055684444209939274
USA,0.05457608608667511
USA,0.07717772858427857
USA,0.07268402044642333
USA,0.08707770150277826
USA,0.07544895774967299
USA,0.06676242439918788
USA,0.057752241293555065
USA,0.04711063768490928
USA,0.07337374903004054
USA,0.04348410935042604
USA,0.059819568096982426
USA,0.09424423794626785
USA,0.05762862429641534
USA,0.07921453222087954
USA,0.06010240276462819
USA,0.06205122045747083
USA,0.058614096329768106
USA,0.08016349248970586
USA,0.057982830344087764
USA,0.07618314389014011
USA,0.07434312337025174
USA,0.06668749957919183
USA,0.06706317709701086
USA,0.07538878256448922
USA,0.07232092736802327
USA,0.06254387776199241
USA,0.04764731127432498
USA,0.1096460228950646
USA,0.057447299834274095
USA,0.08677584171575231
USA,0.07784725350439975
USA,0.0419508982635057
USA,0.12513537493928956
USA,0.10013571239667278
USA,0.04489902288175052
USA,0.05194237465602713
USA,0.049620059408042386
USA,0.09119035979282833
USA,0.11330049700639576
USA,0.044500423040170815
USA,0.0717639151526236
USA,0.054867193980945174
USA,0.06014396379035502
USA,0.09206726747716634
USA,0.0751340095672546
USA,0.08454707120384075
USA,0.08712415385973205
USA,0.07004916726321184
USA,0.06948860249803449
USA,0.06203187728537185
USA,0.04339829562428512
USA,0.08331160359922804
USA,0.07476607704129012
USA,0.06394642080830235
USA,0.07252982369965832
USA,0.06696045682155932
USA,0.08540948539908357
USA,0.07778036656037424
USA,0.08200619576849823
USA,0.07283656927326286
USA,0.05931048927572903
USA,0.07298871769242074
USA,0.08778983013171712
USA,0.07992405399800559
USA,0.04839798122266835
USA,0.06583925921281902
USA,0.05820283007794932
USA,0.059400888943607226
USA,0.07016358625080615
USA,0.06416179343494965
USA,0.0840235832837567
USA,0.04782201196627414
USA,0.044077894084754855
USA,0.05510058122533621
USA,0.029166076598879924
USA,0.04269357402961036
USA,0.07620141808578526
USA,0.08279785127024744
USA,0.0879725189531534
USA,0.09994537666527908
USA,0.08854358508268662
USA,0.06765979886180969
USA,0.04755867850655829
USA,0.0828964447974854
USA,0.07669141934177634
USA,0.11043451934669654
USA,0.0592046236767149
USA,0.050910460501159945
USA,0.0586375538505645
USA,0.07949062446079115
USA,0.05930543041391338
USA,0.04593901883215802
USA,0.06851144513147328
USA,0.045950740729278884
USA,0.07973120257192011
USA,0.06215795805720647
USA,0.06417638578295796
USA,0.07009399681029713
USA,0.058820768665980724
USA,0.07367548668259617
USA,0.08178867353588626
USA,0.07733389079763889
