age_group,p
0-9,0.34971941638608306
10-19,0.2673400673400673
20-29,0.15735129068462403
30-39,0.09584736251402919
40-49,0.06397306397306397
50-59,0.030303030303030304
60-69,0.0186307519640853
70-90,0.015712682379349047
